author,text,like_count,reply_count,published_at
@investockmedia,"Investasi saham banyak dipengaruhi emosi investor masalahnya. Beli saham juga beli harapan. Jadi ya, 2 hal itu yang paling di mainin market maker.",0,0,2025-07-20T12:06:05Z
@zackyedan570,juli 2025 masih mantengin,0,0,2025-07-19T17:22:44Z
@barudaksalafi1545,Motivasi,0,0,2025-07-15T16:47:57Z
@TheNoxWonder_,9:07 Saham adalah zero sum game 😢😢😢,0,0,2025-07-05T07:15:57Z
@HasanPercetakan,"Biar ga ketahuan bandar, belinya sedikit tapi pake banyak Rdn",0,0,2025-07-02T01:34:59Z
@Zürich-fx,"3.
27/6/25",0,0,2025-06-26T21:03:47Z
@maxzhuraabdul30,Bang apakah saham bumi akan naik di 2026?,0,0,2025-06-23T15:08:29Z
@afnannursuwandi345,"oke, sekarang buat untuk sisi gelap dunia crypto",0,0,2025-06-23T04:27:04Z
@rizkyenemy,👍🏼,0,0,2025-06-22T14:25:39Z
@pejuanghijrahsd,"jadi paham, makasi bang",0,0,2025-06-18T04:57:13Z
@CleanupSaveocean,Hadir bang 🙏,0,0,2025-06-16T14:38:26Z
@isalsalbiah2546,"Ngefans banget gw sama pola pikir luh bang,,,,,, 
Anjir cerdas bgt",0,0,2025-06-16T03:46:57Z
@NiMadeNasir,br kali ini dgr info yg bener,0,0,2025-06-15T01:50:06Z
@Invert-i7f,siapa cowo softspoken ini,16,1,2025-06-13T00:50:28Z
@pustakawandunia1688,Sama sperti Crypto. This is the game. Smart people and hoki is the winner.,0,0,2025-06-11T14:09:56Z
@abdulcholiq3540,Yg nonton june 2025.ngacung😅,86,12,2025-06-11T13:27:07Z
@gratisanselamanya,naga 👍🙂,0,0,2025-06-10T15:33:25Z
@herijepri1338,"Kayak nya ilmu nya ngak bisa langsung di serap... Haruss di pahami dulu
Mulai pusing",0,0,2025-06-06T12:41:13Z
@hiskialaang6881,Pengen denger di panggung negara,0,0,2025-06-05T13:20:51Z
@hiskialaang6881,Bang tolong dong pasti ada lagu timoty Ronald please dong,0,0,2025-06-05T13:19:31Z
@hiskialaang6881,Saya percaya baget sama kamu bang,0,0,2025-06-05T13:16:26Z
@akuadalahaku00,Kali ada info...saham mercy harga bajai..koko?,0,0,2025-06-03T17:14:53Z
@SopiahBarokah,Terimakasih edukasi nya pak,0,0,2025-06-03T10:41:50Z
@heri4013,"Masa allah kelahiran 2000 secerdas ini th 2015 masi main game coc suhu timoty sudah trading,,,, saya kelahiran 1993 angkat topi buat km bos,,,,",0,0,2025-06-02T08:30:18Z
@AbdulAziz28-h1d,Gua abdul bang dari masa depan yg bakal naikin harga klas lu wkwk😅😅😅,0,0,2025-06-02T04:54:36Z
@AbdulAziz28-h1d,KEBENARAN AKAN MENANG YANG MENJAWAB ADALAH WAKTU,0,0,2025-06-02T04:52:37Z
@thoriqdivandra9396,Gak pengaruh di saham bigbanks dan Lq45,0,0,2025-06-01T14:59:09Z
@RanabillaAdhara,"Brotim, saya mau tanya pendapat brotim tentang cara kerja uang saya. Saya inves di tempat A sebanyak 800jt, tiap bulan saya dapat uang 20jt keuntungan dr tempat A itu, konsisten setiap bulan. Dan kalau suatu hari nanti saya tarik uang saya 800jt itu, boleh dan bisa. Bagaimana menurut brotim?",0,0,2025-05-31T17:54:50Z
@YunusMaulaRohmani,Apakah bro timothy ini orang yang berasal dari masa depan dan kembali ke masa lalu ??.,0,0,2025-05-30T08:56:29Z
@darmapratama1496,sisi gelap crypto ga lu sebut?,0,1,2025-05-28T00:49:11Z
@kipingkiping4565,Itulah sebabnya trader seperti pak vier selalu pakai trik 9 rdn bahkan lebih,0,0,2025-05-28T00:32:47Z
@RikaNatalia-pc6bp,Bagus gw malah seneng tambah dikit yang beli saham tambah murah harganya tambah gacor dividennya tambah untung jadinya,0,0,2025-05-26T08:39:46Z
@kopipagi537,terima kasih,0,0,2025-05-23T08:25:05Z
@saharimustofa457,❤,0,0,2025-05-23T06:45:31Z
@wisnuyoga9201,"Bang cara daftar di tokcrypo ,kalo ngak ada rekening bank gimana solusinya?🙏",0,0,2025-05-22T14:47:08Z
@BANGDEON-n8p,Nonton 2025,0,0,2025-05-20T08:08:23Z
@yrahman,Baik loh nih orang mau ngejelasin tapi kok banyak yg benci ya. Tapi emg org yg gw kenal dan Benci Timothy rata² goblok sih 😅,0,1,2025-05-15T19:29:51Z
@JefFei-t1q,"fans berat saham, mulai hilang kepercayaan terhadap saham indo,,,, mulai belajar trading crypto",0,0,2025-05-13T13:53:50Z
@NauvalArwa99,Matursuwun bang atas ilmunya ❤❤❤,0,0,2025-05-12T02:35:58Z
@MuhamadRidwan-x3n,Vidio 3 yg gua liat,0,0,2025-05-07T11:50:53Z
@Jauthegems,Kerjaan wb indonesia,0,0,2025-05-03T16:48:39Z
@Comment_Moderator,"Hai, gw dari masa depan.",2,0,2025-05-02T18:31:20Z
@bagindasurya7468,Bismillah next,0,0,2025-04-25T13:11:46Z
@cintaahlulbaitrasulullahmu8570,"Alhamdulillah saya sudah menguasai indikator obyektif pivot camarilla, fibonacci, wodie demark dan tradisional... semua obyektif dan akurat dan sip Joss simetris dengan fundamental ataupun news di market yang sedang booming atau euforia di pasar....🙏💪🦁",0,0,2025-04-20T06:15:51Z
@Mengkece,"Dengar bro timhothy  cerita gini 
Jiwa jiwa ku bergetar 
Seakan,ditarik ke dalam cerita",0,0,2025-04-19T15:14:23Z
@Mattewlv,"Solusinya gmna ? Saya baru masuk ke dunia saham baru mulai nonton video sudah 1 bulanan full, dan akhir gini bingung ni gak ada pemasukan sama sekali tolong saya 😢",0,2,2025-04-18T13:22:59Z
@ahmadramadani1778,gua penonton terakhir?,0,0,2025-04-07T12:34:09Z
@ZahliapurtiNabagus,Jauh ilmu abang nih,0,0,2025-04-04T16:35:26Z
@AntiBaalwi,"BANDAR YG RAMPOK RITEL ADANYA CUMA DI SAHAM KONGLO.
kalo di saham banking ga berlaku.",0,0,2025-04-02T12:50:27Z
@ririhermanto6454,Tengkyu broder ilmunya..,0,0,2025-04-01T18:17:24Z
@junedisitorus9304,ko bertanya  sekarang bila kita beli saham  semua memakai HP? (online)  tidak harus kekantor agen? semua berkas  online/pdf? terima kasih,0,0,2025-04-01T13:48:03Z
@Err_7x,Gak ada trading live yg bener2 tunjukin profit konsisten kah ko gema,0,0,2025-03-31T13:09:27Z
@ekohariyono_idx,Setiap saham ada penunggunya.,0,0,2025-03-31T04:41:40Z
@og09gam,"2025, up ini ketika investor Revolusioner ini di sindir""  Investor lain",0,0,2025-03-30T09:29:17Z
@jasoonjarsoon1651,2025 anoyone? Btw inii Timothy waktu belom capek ngadepin netizen Indonesia ,1,0,2025-03-21T07:04:21Z
@nurulbahri483,"trimakasih pencerahannya, analogi yang pas buat ritel seperti saya yang udah buang-buang waktu 2 tahun belajar saham dari 0 dan berahir di 0. andai nemu vidio ini dari dulu",0,0,2025-03-21T02:16:06Z
@davidardian506,"Pakai prinsip yg sama, apakah Bitcoin juga ada Bandarnya? Paus  vs Ikan Teri ?",0,0,2025-03-18T23:41:50Z
@Javatuber,"18 Maret 2025, IHSG anjlokk.. ampe kena trading halt. Padahal saham luar ijo royo royo 😢",0,0,2025-03-18T10:55:59Z
@theinsiderstocks,crypto juga ada bandarnya timoyi ini stress,1,0,2025-03-02T07:04:04Z
@patrisiusningkut7185,BBRI nyangkut parah 😢😢,0,1,2025-02-26T23:45:54Z
@Investor_Ritel,"Sya beli bitcoin from 2014,
Wow cuan brow. ✌🤑",4,0,2025-02-25T16:25:38Z
@hazmantatbiqu7883,"Keren mas, saya udh paham saham nambah paham lagi saham setelah denger ini. Bismillah lagi belajar Invest di BTC dan crypto moga cepet bisa dan rezekinya ada. Soalnya menarik naik turunnya dratis high risk High return",0,0,2025-02-23T18:27:42Z
@husniray5138,Kayak saham AGRO dari 2700 sekarang ke 200,0,0,2025-02-18T10:32:34Z
@Chaneltutorial65,"Saham Indonesia tidak berkembang ingat kata saya, mending gua fokus pada kripto jelas terlihat hasil ketimbang saham lokal kontol 😅",0,0,2025-02-14T10:00:29Z
@jokorian3229,maaf bang baru nonton wkwkwk,0,0,2025-02-04T15:08:49Z
@ayankayi6507,"Berharap jawaban yg memuaskan, bg mau tanya  jika uang kita tidak bisa di tarik dari perusahaan sekuritas dengan alasan teman yang kita rekomendasi bergabung ke grup sekuritas yang sama melakukan pelanggaran, apa yang harus kita lakukan?",0,0,2025-02-01T05:00:58Z
@TONGSAMCAN,4:10,0,0,2025-01-30T21:26:34Z
@irsanfauzi6484,Sebutin nama aplikasi yg bagus bg,0,0,2025-01-30T13:55:46Z
@ingeinge753,Msh lbh gelap kripik jualan angin,0,0,2025-01-30T11:33:08Z
@kukuhagungpamuji5237,WAH MANTAP NIH TIMOTHY RONAL 🥳,0,0,2025-01-27T19:34:45Z
@AeroDayu,Terimakasi guru timoti,0,0,2025-01-17T15:33:14Z
@kevinanr,Gw mau dong jadi bandar gimana caranya,0,0,2025-01-16T02:38:00Z
@NilL.6,"Ternyata sisi gelap nya bikin ngeri juga,
Tapi atasi semua itu adalah ilmu dari pikiran kita sendiri",0,0,2025-01-11T17:36:54Z
@Mafia-r3r,Ajarin bang harus mulai dari mana,0,0,2025-01-08T03:31:58Z
@asap761,Tell me more dude..,0,0,2024-12-30T01:57:20Z
@Hanma.1shuji,Ngajar rakyat jelantah kayak cerita horor😂,0,0,2024-12-28T12:39:51Z
@Atitzy,Kesini gara2 pak prabowo,0,0,2024-12-12T03:36:22Z
@yusufvkf5516,2024 lanjut bang timoti elmu nya,0,0,2024-12-08T04:56:07Z
@hendribs2688,Tahun 2015 buka akun modal berapa?? Apakah anak smp sudah boleh buka akun??,1,0,2024-11-29T04:21:01Z
@nicholaschin97,"tesis gua ginian wkwkw, dijelaskan dalam video wtf wkwkwk",0,1,2024-11-28T08:09:44Z
@adityapandupangestu7456,poin penting dari videonya ada di 7:55,0,0,2024-11-25T00:09:49Z
@hendribs2688,Kayaknya mending jualan cilok aja.,0,0,2024-11-18T06:07:41Z
@ghifariyoga1922,"koh ada video bahas money flow gk , didunia dan di indo?",0,0,2024-11-16T18:12:48Z
@WinNarto-o4x,gua usia 14 thn uda mau nyemplung dunia saham bang.. uda mikirin ekonomi :),1,0,2024-11-03T09:28:03Z
@ArnitaHidayat,Bahas tentang treding dong😢lewat broker dong,0,0,2024-10-27T10:42:17Z
@dedykurniyanto6349,"Dan lo kheng hong termasuk korban itu 😂😂😂😂 , dikira jaman united traktor bakal terulang",0,0,2024-10-06T12:15:25Z
@yxng1boy,Menit ke 11:00 itu paling anj sihh,0,0,2024-08-29T04:32:07Z
@universeiklan,"Gue sebagai pembuat jasa website sekuritas, 100% apa yg lo sampaikan its true",49,2,2024-08-25T22:37:40Z
@yudijarwoko2053,❤❤❤BEL GATE SAJA GAK MAU BERMAIN CRYPTO😂😂,0,1,2024-08-25T00:44:39Z
@BANDAACEHRC,Mengerti CEO dan mengerti Blokchan,0,0,2024-08-18T11:16:57Z
@BANDAACEHRC,Kalu comment saya spam hapus di dasbor timothy,0,0,2024-08-18T11:13:06Z
@BANDAACEHRC,"BTC boleh beli sekarang secara bertahap, untuk altcoin sabar dulu....",0,0,2024-08-18T11:11:30Z
@BANDAACEHRC,Salam Banda Aceh bro...,0,0,2024-08-18T11:08:22Z
@BANDAACEHRC,"Tidak ada rumusnya BTC dan Altcoin tidak ada rumusnya juga, modal adalah kecerdasan.... Thanks timothy",0,0,2024-08-18T11:07:45Z
@BANDAACEHRC,"Good, gitu dong tentang broker... 10thn saya di BTC,",0,0,2024-08-18T11:05:29Z
@AnakKisam,"Gara2 googling, cara kaya😅",0,0,2024-08-16T13:32:06Z
@eat-study,Black edge,0,0,2024-07-28T12:46:27Z
@surianshriansh9639,dunia saham ... seperti cerita d novel sang jenius ahli saham...coba kalian tonton,0,0,2024-07-17T00:14:08Z
@purnamawatiakunbank,jadi kayaknya nih....saham GOTO adalah hasil permainan bandar nih😅😅😅,0,0,2024-07-15T15:29:15Z
@AdipatiNormandy,"Gak transparan jadinya, taek lah jadi ragu invest di saham",0,0,2024-07-12T06:42:32Z
@fahmiwijaya914,"Ncek, kan lu bilang adSense dari YouTube lu , lu gunakan sebagai donasi. Jadi gua sementara ini ikut andil dalam Donasi tersebut dalam bentuk like n share ya ncek😢❤",0,0,2024-07-10T00:27:28Z
@transaksigagal147,Saham itu investasi untuk jangka panjang BBCA BMRI BBRI,0,0,2024-07-08T07:44:45Z
@benyryanto3959,"Luar biasa, semoga masyarakat Indonesia belajar dulu sebelum memutuskan untuk berinvestasi di bursa efek Indonesia, Luar biasa Timothy 👍",1,0,2024-07-06T13:55:31Z
@h634hehe,"Bener juga ya, klo ada yg profit, pasti ada yg loss.. artinya klo lu take profit, itu lu ambil dari uang yg loss/bodoh",1,0,2024-07-03T11:44:55Z
@dwsputra2771,Keren,0,0,2024-06-30T10:00:42Z
@Pengarangpencerita,Bang kan lu mulainya di bawah umur lu ktpnya dari mana,1,1,2024-06-15T07:14:17Z
@antonijaya894,"G dlu tahun 2017 gabung dunia shm....ngomong gak percaya Fundamental eh di bully ama aliran Funda....Gua omong gak percaya Grafik.....eh di bully aliran teknikal.....😅..... semua mah mau mau bandar......

Kasus Jiwasraya....Asabri...masa sih bursa saham gak tau ada transaksi goreng2.....kan tercatat elektronik.......😅 baru erik tohir naik jd mentri bumn aja....pada kocar kacir.... kena lah itu benny tjokro & heru hidayat.....

Belum lagi kasus2pembubaran reksadana yg memberi imbal hasil di atas 11%... di th 2019....banyak saham2 berguguran kan.... masa praktek ud berjalan lama bagi imbal hasil di atas 11% ud berjalan bertahun2....masa ojk  gak tau?

Yuk nabung saham😅....eh yuk kasih duit jerih payah kita ke bandar/konglomerat2.....😅",1,0,2024-06-12T14:34:37Z
@alfachannel3159,sedang berusaha mngalihkn peminat saham ke Cripto..dan nnti nya dy yg akan untung duluan di crypto....,0,1,2024-06-11T15:22:15Z
@CROW-X14,"Kerennn Bang , Sisi Gelap yang harus kita ketahui, jadi bisa lebih bijak dalam mengambil keputusan",1,0,2024-06-05T22:17:28Z
@hasyimhadid2483,Bagaimana dgn forex?,0,0,2024-06-04T14:22:18Z
@hasyimhadid2483,Sepertinya obyektif,0,0,2024-06-04T14:20:56Z
@mizieapriansyah0723,"HMM GILA ILMU YANG GAKAN ADA DIMANAPUN, BANGKU SEKOLAH, BANGKU KULIAH ATAU BANGKU LAINNYA, HANYA ADA KELAS ONLINE DISINI. 

BERARTI ASUMSI GUE KLW UDH GINI BELI SAHAM YANG MEMANG DI HARGA SERENDAH RENDAHNYA, KLW KITA GATAU APA AJA SAHAM YANG POM-POM. DAN USAHAKAN SELALU SABAR DALAM MEMBELI SAHAM DI HARGA SANGAT TINGGI, WALAUPUN MEMANG SANGAT BAIK. ITU BALIK LAGI KE VIDEO PENJELASAN BARUSAN, BERARTI KITA HARUS PUNYA TARGET BATAS TINGGI UNTUK BELI SAHAM DI HARGA BERAPA, WALAUPUN ITU PAKAI STRATEGI DCA. 

BTW MAKASIH ATAS ILMUNYA BANG, SUMPAH KEREN BANGET!",0,0,2024-06-02T11:56:01Z
@ikhwan122,Conto saya kerja di pt slamat smpurna nama emiten bya msms koq oabrik nya masih berjalan,0,0,2024-05-31T12:37:50Z
@ikhwan122,Bandar nya kabur gk klo udah narik uang semua di emiten nya sendri,0,0,2024-05-31T12:36:44Z
@ramastream9752,Kalo BTC gimana kokok,0,0,2024-05-30T22:56:01Z
@tonikasmirlumbantoruan4879,Jelekin saham buat ajak beli crypto 👍,1,0,2024-05-28T13:08:28Z
@channelalfadh4493,"Padahal udah serius banget nyimak, tapi ternyata ngga segelap itu.",0,0,2024-05-26T06:14:57Z
@murdiansyahiyan7537,Jadi curiga ad anu yg di berhentiin ama itu karena itu nya naik derastis,1,0,2024-05-24T15:14:11Z
@murdiansyahiyan7537,bandara macing dengan uang sendiri ada magsa masuk ternyatat mangsanya blm tau lagsung di samber 1m 100jt juan boss,0,0,2024-05-24T15:11:02Z
@thelimit1787,Work sih dh beberapa kali gw tonton video ni baru gw ngerti,1,0,2024-05-23T07:14:54Z
@qinglong7089,q aj berenti sdh main saham.,0,0,2024-05-20T23:10:40Z
@Wisataindonesiasendalkuning,gak ada daging nya. banyak omong.,0,0,2024-05-20T06:32:29Z
@walangwalang4820,"Aq tambah dikit lg ni.....
Kalau lu mau menang lawan bandar saham gampang bos...
Kata wren bafet : Saham itu permainan yg menarik dan menyenangkan. Coba lupikir gimana caranya kalahin bandar.... Gampang lu cukup jadi bandar ritel aja bro. Itinya masuk di saham blucip yg gak mungkin bangkrut perusan nya aq yakin kalian pasti cuan sam tiap hari sama seper aq...... 
Sukur sukur lu gerti jdi bandar rilel ( bandarbkecil ) aq kasi contoh ni dulu aq suka cari untung di togel onlen. aq ikut jdi ban darnya dengan cara aq beli 95 no, aq sisain 5 no buat bandarnya, otomatis aq menang togel terus dong.....
Aq pindah ke saham karna uangnya digin bro, kalau togel enta kenapa uangnya susa kumpul😂😂😂😂😂",0,0,2024-05-18T16:09:11Z
@mobaming356,"11:09 koh masih bingung dengan maksud diguyur, yang paham mohon jelaskan",0,4,2024-05-18T10:41:05Z
@amienbrrnthrhswirawan7776,Saham jika didukung dengan modal investor yang menggoreng harga nya dapat melambung sampai setinggi langit yang sudah tidak sesuai dengan aset dari perusahaan nya lagi ini karena faktor dukungan moneter seperti 7 saham internet di bursa saham wall street,0,0,2024-05-17T13:14:38Z
@bilaputri-ps8to,"🤩Member baru di kasih menang langsung guys situs server luar #QQHOK, Gaspooll terus Cuan kali ini Wajib WD🤩",0,0,2024-05-12T20:06:33Z
@UmrotulNurul,Siapa Bandar Cryptocurrency??,0,1,2024-05-12T14:19:03Z
@ahyach38,"Menurut gwe cocok sih penjelasannya sama pengalaman gwe. Ada satu emiten yg gwe kenal owner dan bisnisnya di desa gwe, pas doi IPO gwe gak langsung beli. Gwe tunggu dan liat kondisi bisnis mereka dari dekat. Dari rumor2 karyawan yg bahkan ownernya mungkin gak tau 😂
Pas gwe rasa perusahaannya bagus, baru gwe masuk. Dan sampai sekarang perusahaannya bertumbuh dgn dividen yg cakep.",0,0,2024-05-12T11:32:27Z
@hedgingwell7718,Mmekeleren mu warna ap,0,0,2024-05-12T08:20:50Z
@adeabdillah3503,Pendongeng 😢😂,0,1,2024-05-12T06:03:33Z
@rendyabin7697,Aku bangkrut waktu beli saham LIPPO di perdana 15.000.. Saham turun terus sampai bank nya pun lenyap.. Yang gila saham yang dijadikan jaminan dimakan.. LIPPO.. DILILIT DIPOTONG.,0,0,2024-05-09T10:56:48Z
@Andreas.T.W,Kasih paham ncek...,0,0,2024-05-09T04:02:53Z
@abcdefggfedcba3716,"Inilah pengalaman yang gw rasakan saat belajar trading, jujur sih saham dan cripto pola bandarnya mirip-mirip
Makanya buat yang bermain 5 menit atau 1jam harus hati-hati

Lebih enak main hold berhari hari",0,1,2024-05-05T19:31:17Z
@hamdanifirdaus8923,"berarti saham yg bagus itu saham nya luar negeri ya?, kyk samsung, apple, tesla, alphabet atau amazon gitu?",0,1,2024-05-04T23:04:38Z
@evanmilano5363,Lanjut part 2 bang🔥,0,0,2024-05-04T03:29:30Z
@WiwikKhasanah-zp2sv,Cerdik bandar nasional,0,0,2024-04-30T08:38:55Z
@kinansaitama,"ORANG YANG NGAJARIN SCALPING  YANG DARI MANA ITU  KERJA SAMA SEKURITAS.. FEE 50% DARI STIAP TRANKSAKSI UNTUNG APA RUGI ,,, BANGKE ,,,,   DIA NAIKIN SAHAM GOCAP   TRUS DI KUNCI ... ITU NAMANYA UANG HARAM BOS.. ITU CUMA MINDAH2 UANG DARI ORANG KITA SENDIRI SAMA2 ORANG INDONESIA,, MENDING PINDAH MARKET",0,0,2024-04-29T18:38:38Z
@kinansaitama,"bandar saham ,, itu yang punya emiten sendiri ,,, dia pegang paling banyak,, trus dia nunjuk orang buat bandarin jga harganya juga",0,0,2024-04-29T18:29:12Z
@alexsetyapranarka9191,Contohnya uym main saham pura malah digebukin bandar.😅,0,0,2024-04-29T05:58:28Z
@YouTubeR-8,Kalau bandar crypto ada gak kk 😅,0,1,2024-04-29T05:57:41Z
@alexsetyapranarka9191,Bencok itu mainnya right issue buat ngangkat harga abis itu digebukin yg cere cere.,0,2,2024-04-29T05:54:10Z
@YouTubeR-8,Setelah melihat video ini saya putuskan beli tanah dan emas dan properti aja 😄,12,2,2024-04-29T05:36:02Z
@zgjxgjxsh,"sapakek wak bg batua bana, don't belive you can be the richest man with playing ""SAHAM"", that's the reality 
🤞🏼💀",0,0,2024-04-26T07:15:20Z
@ParetoEmperor-jp6ke,"Dimana ada supply, disitu ada demand, imbalance terjadi akan menciptakan bullish dan dan bearish, agar imbalance berjalan maka harga naik dulu agar supply mendapatkan likuiditas, dan harga turun dulu agar demand mendapatkan likuiditas. makanya banyak merasa kejebak karena tidak bisa membaca liquidity market / orderflow - volume analysis. taunya narasi, bandar dan chart pattern doang.",0,1,2024-04-19T04:52:07Z
@claystudiofx,technical itu selalu dipakai bandar utk nge- gocek retail.,0,0,2024-04-17T02:37:34Z
@muhammadrafi7211,ulti nolan,0,0,2024-04-15T12:33:52Z
@Mari_Selalu_Berbuat_Kebaikan,Mari selalu berbuat banyak kebaikan ❤️,0,0,2024-04-11T15:16:13Z
@bonzsetiawan6839,Jadi siapakah LKH....,0,0,2024-04-11T12:40:49Z
@Barententreprise,Keren,0,0,2024-04-11T06:22:58Z
@yts0847,"kan sudah kuduga, pasti dapat ilmu baru lagi yg menjawab pertanyaan dalam otakku.",0,0,2024-04-10T05:16:02Z
@tonysutandi2113,Masuk akal menurut saya ..lanjutkan pencerahan nya bro ..😊,0,0,2024-04-09T16:49:34Z
@kacaribufamily788,"INDRA KENZ CASING BARU.
BEDANYA KALI INI TANPA BINOMO 🤣🤣🤣🤡🤡🤡",0,2,2024-04-09T00:44:37Z
@MuhammadHarits-up8ic,Untuk mengetahui apa kepentingan/keinginan yg empunya emiten dari mana?,0,1,2024-04-07T10:28:35Z
@afrisetyantoko6373,"belajar dari mana ya bang timothy,,bisa pinter gini",0,0,2024-04-07T07:22:32Z
@haidartrigonamaduklanceng7147,Benar ko..sekarang peraturannya pun semakin gak bermutu,0,0,2024-04-06T15:26:43Z
@arikorila9481,Penjelasan yg sangat masuk akal..,0,0,2024-04-06T04:52:32Z
@yosepmukti1,"Suasana pameran Artefak Rasul hari terakhir di Ndalem Guron Desa Tegalsari Kecamatan Jetis Kabupaten Ponorogo, Ahad (21/01/2024). 

Bagi yang belum kesini pameran ndalem guron masih dibuka sampai 10 Februari 2024. Monggo ajak keluarga,  sahabat, kekasih, teman kalian dan lain-lainnya ajak kesini ya gratis. 

#ndalemguron #ndalemngguron #ndalemgurontegalsari   #tegalsari #santritegalsari #tegalsarijetisponorogo #ponorogotegalsari #masjidtegalsari #tegalsariponorogo",3,0,2024-04-05T19:53:03Z
@yosepmukti1,masjid al-irsyad ngembag dukuh sobo desa Ngumpul Kecamatan Balong Ponorogo,1,0,2024-04-05T19:52:44Z
@Safar-dq4vc,Saham itu zero sum game ya judi maysir,0,4,2024-03-29T13:16:59Z
@grahaentertaimend,"Eh ko Timothy Ronald kalau buat fidio seperti ini jngnlh setengah setengah ko,buat kek lebih lengkap dan detail ,soal fidio lu tu bgs buat gw,bhkn gw mw ketemu Ama lu ko Timothy Ronald di jakarta nth jakarta mana",0,1,2024-03-23T16:40:46Z
@OLENKchannelTV,Bang pliis tolong terangkan / bahas apa itu FIAT moneyy,0,1,2024-03-23T15:54:54Z
@lambangsutrisno1000,Ya memang betul.paparan nya,0,0,2024-03-23T05:01:37Z
