text,clean_text,sentiment_label
BANDAR YG RAMPOK RITEL ADANYA CUMA DI SAHAM KONGLO. kalo di saham banking ga berlaku.,bandar yg rampok ritel adanya cuma di saham konglo kalo di saham banking ga berlaku,Negative
Tengkyu broder ilmunya..,tengkyu broder ilmunya,Positive
ko bertanya  sekarang bila kita beli saham  semua memakai HP? (online)  tidak harus kekantor agen? semua berkas  online/pdf? terima kasih,ko bertanya sekarang bila kita beli saham semua memakai hp online tidak harus kekantor agen semua berkas online pdf terima kasih,Neutral
Gak ada trading live yg bener2 tunjukin profit konsisten kah ko gema,gak ada trading live yg bener2 tunjukin profit konsisten kah ko gema,Negative
Setiap saham ada penunggunya.,setiap saham ada penunggunya,Neutral
"2025, up ini ketika investor Revolusioner ini di sindir""  Investor lain",2025 up ini ketika investor revolusioner ini di sindir investor lain,Neutral
2025 anoyone? Btw inii Timothy waktu belom capek ngadepin netizen Indonesia,2025 anoyone btw inii timothy waktu belom capek ngadepin netizen indonesia,Positive
"trimakasih pencerahannya, analogi yang pas buat ritel seperti saya yang udah buang-buang waktu 2 tahun belajar saham dari 0 dan berahir di 0. andai nemu vidio ini dari dulu",trimakasih pencerahannya analogi yang pas buat ritel seperti saya yang udah buang buang waktu 2 tahun belajar saham dari 0 dan berahir di 0 andai nemu vidio ini dari dulu,Positive
"Pakai prinsip yg sama, apakah Bitcoin juga ada Bandarnya? Paus  vs Ikan Teri ?",pakai prinsip yg sama apakah bitcoin juga ada bandarnya paus vs ikan teri,Negative
"18 Maret 2025, IHSG anjlokk.. ampe kena trading halt. Padahal saham luar ijo royo royo 😢",18 maret 2025 ihsg anjlokk ampe kena trading halt padahal saham luar ijo royo royo,Negative
crypto juga ada bandarnya timoyi ini stress,crypto juga ada bandarnya timoyi ini stress,Negative
BBRI nyangkut parah 😢😢,bbri nyangkut parah,Negative
Ngpainaen saham😅😅😅😅,ngpainaen saham,Neutral
"Sya beli bitcoin from 2014, Wow cuan brow. ✌🤑",sya beli bitcoin from 2014 wow cuan brow,Neutral
"Keren mas, saya udh paham saham nambah paham lagi saham setelah denger ini. Bismillah lagi belajar Invest di BTC dan crypto moga cepet bisa dan rezekinya ada. Soalnya menarik naik turunnya dratis high risk High return",keren mas saya udh paham saham nambah paham lagi saham setelah denger ini bismillah lagi belajar invest di btc dan crypto moga cepet bisa dan rezekinya ada soalnya menarik naik turunnya dratis high risk high return,Positive
Kayak saham AGRO dari 2700 sekarang ke 200,kayak saham agro dari 2700 sekarang ke 200,Neutral
"Saham Indonesia tidak berkembang ingat kata saya, mending gua fokus pada kripto jelas terlihat hasil ketimbang saham lokal kontol 😅",saham indonesia tidak berkembang ingat kata saya mending gua fokus pada kripto jelas terlihat hasil ketimbang saham lokal kontol,Positive
maaf bang baru nonton wkwkwk,maaf bang baru nonton wkwkwk,Negative
"Berharap jawaban yg memuaskan, bg mau tanya  jika uang kita tidak bisa di tarik dari perusahaan sekuritas dengan alasan teman yang kita rekomendasi bergabung ke grup sekuritas yang sama melakukan pelanggaran, apa yang harus kita lakukan?",berharap jawaban yg memuaskan bg mau tanya jika uang kita tidak bisa di tarik dari perusahaan sekuritas dengan alasan teman yang kita rekomendasi bergabung ke grup sekuritas yang sama melakukan pelanggaran apa yang harus kita lakukan,Negative
4:10,4 10,Negative
Sebutin nama aplikasi yg bagus bg,sebutin nama aplikasi yg bagus bg,Positive
Msh lbh gelap kripik jualan angin,msh lbh gelap kripik jualan angin,Neutral
WAH MANTAP NIH TIMOTHY RONAL 🥳,wah mantap nih timothy ronal,Positive
Terimakasi guru timoti,terimakasi guru timoti,Positive
Gw mau dong jadi bandar gimana caranya,gw mau dong jadi bandar gimana caranya,Negative
"Ternyata sisi gelap nya bikin ngeri juga, Tapi atasi semua itu adalah ilmu dari pikiran kita sendiri",ternyata sisi gelap nya bikin ngeri juga tapi atasi semua itu adalah ilmu dari pikiran kita sendiri,Negative
Ajarin bang harus mulai dari mana,ajarin bang harus mulai dari mana,Negative
Tell me more dude..,tell me more dude,Positive
Ngajar rakyat jelantah kayak cerita horor😂,ngajar rakyat jelantah kayak cerita horor,Negative
Kesini gara2 pak prabowo,kesini gara2 pak prabowo,Negative
2024 lanjut bang timoti elmu nya,2024 lanjut bang timoti elmu nya,Neutral
Tahun 2015 buka akun modal berapa?? Apakah anak smp sudah boleh buka akun??,tahun 2015 buka akun modal berapa apakah anak smp sudah boleh buka akun,Neutral
"tesis gua ginian wkwkw, dijelaskan dalam video wtf wkwkwk",tesis gua ginian wkwkw dijelaskan dalam video wtf wkwkwk,Negative
mau baca dong bang hehe,mau baca dong bang hehe,Positive
poin penting dari videonya ada di 7:55,poin penting dari videonya ada di 7 55,Neutral
Kayaknya mending jualan cilok aja.,kayaknya mending jualan cilok aja,Positive
"koh ada video bahas money flow gk , didunia dan di indo?",koh ada video bahas money flow gk didunia dan di indo,Negative
gua usia 14 thn uda mau nyemplung dunia saham bang.. uda mikirin ekonomi :),gua usia 14 thn uda mau nyemplung dunia saham bang uda mikirin ekonomi,Negative
Bahas tentang treding dong😢lewat broker dong,bahas tentang treding donglewat broker dong,Neutral
"Dan lo kheng hong termasuk korban itu 😂😂😂😂 , dikira jaman united traktor bakal terulang",dan lo kheng hong termasuk korban itu dikira jaman united traktor bakal terulang,Negative
Menit ke 11:00 itu paling anj sihh,menit ke 11 00 itu paling anj sihh,Neutral
"Gue sebagai pembuat jasa website sekuritas, 100% apa yg lo sampaikan its true",gue sebagai pembuat jasa website sekuritas 100 apa yg lo sampaikan its true,Neutral
Ada kontaknya bro?,ada kontaknya bro,Negative
Info bikin bisnisnya bang🤤,info bikin bisnisnya bang,Positive
❤❤❤BEL GATE SAJA GAK MAU BERMAIN CRYPTO😂😂,bel gate saja gak mau bermain crypto,Negative
"Ini dunia makin lama makin maju bro ... Makanya ubah mindsetnya  Jangan sampe Ada yang ketinggalan lagi, Ikuti perkembangan digital nya",ini dunia makin lama makin maju bro makanya ubah mindsetnya jangan sampe ada yang ketinggalan lagi ikuti perkembangan digital nya,Positive
Mengerti CEO dan mengerti Blokchan,mengerti ceo dan mengerti blokchan,Negative
Kalu comment saya spam hapus di dasbor timothy,kalu comment saya spam hapus di dasbor timothy,Negative
"BTC boleh beli sekarang secara bertahap, untuk altcoin sabar dulu....",btc boleh beli sekarang secara bertahap untuk altcoin sabar dulu,Neutral
Salam Banda Aceh bro...,salam banda aceh bro,Neutral
"Tidak ada rumusnya BTC dan Altcoin tidak ada rumusnya juga, modal adalah kecerdasan.... Thanks timothy",tidak ada rumusnya btc dan altcoin tidak ada rumusnya juga modal adalah kecerdasan thanks timothy,Positive
"Good, gitu dong tentang broker... 10thn saya di BTC,",good gitu dong tentang broker 10thn saya di btc,Neutral
"Gara2 googling, cara kaya😅",gara2 googling cara kaya,Positive
Black edge,black edge,Negative
dunia saham ... seperti cerita d novel sang jenius ahli saham...coba kalian tonton,dunia saham seperti cerita d novel sang jenius ahli saham coba kalian tonton,Neutral
jadi kayaknya nih....saham GOTO adalah hasil permainan bandar nih😅😅😅,jadi kayaknya nih saham goto adalah hasil permainan bandar nih,Neutral
"Gak transparan jadinya, taek lah jadi ragu invest di saham",gak transparan jadinya taek lah jadi ragu invest di saham,Negative
"Ncek, kan lu bilang adSense dari YouTube lu , lu gunakan sebagai donasi. Jadi gua sementara ini ikut andil dalam Donasi tersebut dalam bentuk like n share ya ncek😢❤",ncek kan lu bilang adsense dari youtube lu lu gunakan sebagai donasi jadi gua sementara ini ikut andil dalam donasi tersebut dalam bentuk like n share ya ncek,Neutral
Saham itu investasi untuk jangka panjang BBCA BMRI BBRI,saham itu investasi untuk jangka panjang bbca bmri bbri,Neutral
"Luar biasa, semoga masyarakat Indonesia belajar dulu sebelum memutuskan untuk berinvestasi di bursa efek Indonesia, Luar biasa Timothy 👍",luar biasa semoga masyarakat indonesia belajar dulu sebelum memutuskan untuk berinvestasi di bursa efek indonesia luar biasa timothy,Positive
"Bener juga ya, klo ada yg profit, pasti ada yg loss.. artinya klo lu take profit, itu lu ambil dari uang yg loss/bodoh",bener juga ya klo ada yg profit pasti ada yg loss artinya klo lu take profit itu lu ambil dari uang yg loss bodoh,Negative
Keren,keren,Positive
Bang kan lu mulainya di bawah umur lu ktpnya dari mana,bang kan lu mulainya di bawah umur lu ktpnya dari mana,Negative
Dri org tua nya bang. Liat aja di podcast radytia dika,dri org tua nya bang liat aja di podcast radytia dika,Neutral
G dlu tahun 2017 gabung dunia shm....ngomong gak percaya Fundamental eh di bully ama aliran Funda....Gua omong gak percaya Grafik.....eh di bully aliran teknikal.....😅..... semua mah mau mau bandar......  Kasus Jiwasraya....Asabri...masa sih bursa saham gak tau ada transaksi goreng2.....kan tercatat elektronik.......😅 baru erik tohir naik jd mentri bumn aja....pada kocar kacir.... kena lah itu benny tjokro & heru hidayat.....  Belum lagi kasus2pembubaran reksadana yg memberi imbal hasil di atas 11%... di th 2019....banyak saham2 berguguran kan.... masa praktek ud berjalan lama bagi imbal hasil di atas 11% ud berjalan bertahun2....masa ojk  gak tau?  Yuk nabung saham😅....eh yuk kasih duit jerih payah kita ke bandar/konglomerat2.....😅,g dlu tahun 2017 gabung dunia shm ngomong gak percaya fundamental eh di bully ama aliran funda gua omong gak percaya grafik eh di bully aliran teknikal semua mah mau mau bandar kasus jiwasraya asabri masa sih bursa saham gak tau ada transaksi goreng2 kan tercatat elektronik baru erik tohir naik jd mentri bumn aja pada kocar kacir kena lah itu benny tjokro heru hidayat belum lagi kasus2pembubaran reksadana yg memberi imbal hasil di atas 11 di th 2019 banyak saham2 berguguran kan masa praktek ud berjalan lama bagi imbal hasil di atas 11 ud berjalan bertahun2 masa ojk gak tau yuk nabung saham eh yuk kasih duit jerih payah kita ke bandar konglomerat2,Negative
sedang berusaha mngalihkn peminat saham ke Cripto..dan nnti nya dy yg akan untung duluan di crypto....,sedang berusaha mngalihkn peminat saham ke cripto dan nnti nya dy yg akan untung duluan di crypto,Positive
Dia duitnya 2T broh.. tp dr kalimat lu gw yakin lu udh sampe 10T,dia duitnya 2t broh tp dr kalimat lu gw yakin lu udh sampe 10t,Negative
"Kerennn Bang , Sisi Gelap yang harus kita ketahui, jadi bisa lebih bijak dalam mengambil keputusan",keren bang sisi gelap yang harus kita ketahui jadi bisa lebih bijak dalam mengambil keputusan,Positive
Bagaimana dgn forex?,bagaimana dgn forex,Positive
Sepertinya obyektif,sepertinya obyektif,Positive
"HMM GILA ILMU YANG GAKAN ADA DIMANAPUN, BANGKU SEKOLAH, BANGKU KULIAH ATAU BANGKU LAINNYA, HANYA ADA KELAS ONLINE DISINI.   BERARTI ASUMSI GUE KLW UDH GINI BELI SAHAM YANG MEMANG DI HARGA SERENDAH RENDAHNYA, KLW KITA GATAU APA AJA SAHAM YANG POM-POM. DAN USAHAKAN SELALU SABAR DALAM MEMBELI SAHAM DI HARGA SANGAT TINGGI, WALAUPUN MEMANG SANGAT BAIK. ITU BALIK LAGI KE VIDEO PENJELASAN BARUSAN, BERARTI KITA HARUS PUNYA TARGET BATAS TINGGI UNTUK BELI SAHAM DI HARGA BERAPA, WALAUPUN ITU PAKAI STRATEGI DCA.   BTW MAKASIH ATAS ILMUNYA BANG, SUMPAH KEREN BANGET!",hmm gila ilmu yang gakan ada dimanapun bangku sekolah bangku kuliah atau bangku lainnya hanya ada kelas online disini berarti asumsi gue klw udh gini beli saham yang memang di harga serendah rendahnya klw kita gatau apa aja saham yang pom pom dan usahakan selalu sabar dalam membeli saham di harga sangat tinggi walaupun memang sangat baik itu balik lagi ke video penjelasan barusan berarti kita harus punya target batas tinggi untuk beli saham di harga berapa walaupun itu pakai strategi dca btw makasih atas ilmunya bang sumpah keren banget,Positive
Conto saya kerja di pt slamat smpurna nama emiten bya msms koq oabrik nya masih berjalan,conto saya kerja di pt slamat smpurna nama emiten bya msms koq oabrik nya masih berjalan,Neutral
Bandar nya kabur gk klo udah narik uang semua di emiten nya sendri,bandar nya kabur gk klo udah narik uang semua di emiten nya sendri,Negative
Kalo BTC gimana kokok,kalo btc gimana kokok,Negative
Jelekin saham buat ajak beli crypto 👍,jelekin saham buat ajak beli crypto,Negative
"Padahal udah serius banget nyimak, tapi ternyata ngga segelap itu.",padahal udah serius banget nyimak tapi ternyata ngga segelap itu,Negative
Jadi curiga ad anu yg di berhentiin ama itu karena itu nya naik derastis,jadi curiga ad anu yg di berhentiin ama itu karena itu nya naik derastis,Negative
bandara macing dengan uang sendiri ada magsa masuk ternyatat mangsanya blm tau lagsung di samber 1m 100jt juan boss,bandara macing dengan uang sendiri ada magsa masuk ternyatat mangsanya blm tau lagsung di samber 1m 100jt juan boss,Negative
Work sih dh beberapa kali gw tonton video ni baru gw ngerti,work sih dh beberapa kali gw tonton video ni baru gw ngerti,Negative
q aj berenti sdh main saham.,q aj berenti sdh main saham,Negative
gak ada daging nya. banyak omong.,gak ada daging nya banyak omong,Negative
"Aq tambah dikit lg ni..... Kalau lu mau menang lawan bandar saham gampang bos... Kata wren bafet : Saham itu permainan yg menarik dan menyenangkan. Coba lupikir gimana caranya kalahin bandar.... Gampang lu cukup jadi bandar ritel aja bro. Itinya masuk di saham blucip yg gak mungkin bangkrut perusan nya aq yakin kalian pasti cuan sam tiap hari sama seper aq......  Sukur sukur lu gerti jdi bandar rilel ( bandarbkecil ) aq kasi contoh ni dulu aq suka cari untung di togel onlen. aq ikut jdi ban darnya dengan cara aq beli 95 no, aq sisain 5 no buat bandarnya, otomatis aq menang togel terus dong..... Aq pindah ke saham karna uangnya digin bro, kalau togel enta kenapa uangnya susa kumpul😂😂😂😂😂",aq tambah dikit lg ni kalau lu mau menang lawan bandar saham gampang bos kata wren bafet saham itu permainan yg menarik dan menyenangkan coba lupikir gimana caranya kalahin bandar gampang lu cukup jadi bandar ritel aja bro itinya masuk di saham blucip yg gak mungkin bangkrut perusan nya aq yakin kalian pasti cuan sam tiap hari sama seper aq sukur sukur lu gerti jdi bandar rilel bandarbkecil aq kasi contoh ni dulu aq suka cari untung di togel onlen aq ikut jdi ban darnya dengan cara aq beli 95 no aq sisain 5 no buat bandarnya otomatis aq menang togel terus dong aq pindah ke saham karna uangnya digin bro kalau togel enta kenapa uangnya susa kumpul,Positive
"11:09 koh masih bingung dengan maksud diguyur, yang paham mohon jelaskan",11 09 koh masih bingung dengan maksud diguyur yang paham mohon jelaskan,Neutral
"Ownernya buang barang, jadi harga balik ke bawah tapi lu masih pegang barang",ownernya buang barang jadi harga balik ke bawah tapi lu masih pegang barang,Negative
"Lu beli dengan uang milyaran, bandar langsung jual ke lu...  Atau hajar kiri",lu beli dengan uang milyaran bandar langsung jual ke lu atau hajar kiri,Neutral
"@akmalilhamdzurkaefi9645 gw masi bingung misal ni gw masuk 5 M terus bandar guyur market  jd hrga sahamnya turun drastis, nah tujuannya dia guyur apa?",gw masi bingung misal ni gw masuk 5 m terus bandar guyur market jd hrga sahamnya turun drastis nah tujuannya dia guyur apa,Negative
"​@mobaming356tujuan dia guyur  1. profit gratis tanpa pom pom wajib diambil dong (ini kebiasaan bandar yg buruk) 2. Menyetabilkan pertumbuhan saham sesuai keinginan bandar (owner perusahaan). 3. Ibarat punya peliharaan anjing yang ada talinya maka si bandar itu majikan yg pegang tali anjing dan saham ibarat si anjing. Jika si Anjang karinya terlalu kencang maka ditarik tali di leher anjing tersebut agar jalan sesuai jalannya si majikan (owner). 4. 5. Banyak alasan yang bikin orang² berpotensi takut invest saham so cukup itu aja.  NB: diantara 1000 emiten saham hanya sekitar 100 owner emiten saham yang perannya sebagai bandar yang baik dan sisanya ada 100 bandar yang abu-abu sisanya 800 owner kecendrungan owner buruk karena tidak mampu mengendalikan saham perusahaannya. Pintar² pilih owner yang baik contohnya 9 naga seperti Aguan PANI, Franky Oesman DSSA. #DYOR & Disclaimer On",dia guyur 1 profit gratis tanpa pom pom wajib diambil dong ini kebiasaan bandar yg buruk 2 menyetabilkan pertumbuhan saham sesuai keinginan bandar owner perusahaan 3 ibarat punya peliharaan anjing yang ada talinya maka si bandar itu majikan yg pegang tali anjing dan saham ibarat si anjing jika si anjang karinya terlalu kencang maka ditarik tali di leher anjing tersebut agar jalan sesuai jalannya si majikan owner 4 5 banyak alasan yang bikin orang berpotensi takut invest saham so cukup itu aja nb diantara 10 emiten saham hanya sekitar 100 owner emiten saham yang perannya sebagai bandar yang baik dan sisanya ada 100 bandar yang abu abu sisanya 800 owner kecendrungan owner buruk karena tidak mampu mengendalikan saham perusahaannya pintar pilih owner yang baik contohnya 9 naga seperti aguan pani franky oesman dssa dyor disclaimer on,Negative
