id,parent_id,author,text,like_count,reply_count,published_at,type
UgzfFsuylMxUBvnJA-94AaABAg,,@zee992,"Owner calling oo si ini sell hari ini, big manny bandar auto long shot agar profit abistu sawerr karyawan, yang jual rumah auto kena drop redcard mental psikologi kena dimainin owner 😮‍💨",0,0,2025-10-24T21:55:08Z,comment
UgzilJ6Zi-3jzuSbhZp4AaABAg,,@ahmadhn6096,❤❤❤❤😂,0,0,2025-10-16T10:35:22Z,comment
UgzCpqlYs8HfnQ65o854AaABAg,,@masbay6515,"Emang bener yang di bilang bro timoty ini bandar emiten saham ya ownernya itu sendiri,saya korban cl beli saham yang udah naik 1000% lebih, dan sekarang ketika di puncak ownernya jualan...",0,0,2025-10-11T01:51:24Z,comment
UgzdOY-1nQEhekjj8Dx4AaABAg,,@justfun6750,"Saham treding dagang sama kaya judi,ada kalah ada menang,bedanya judi lebih praktis dan lebih cepat ...makanya di haramkan ,karna bikin org pd ga mau cari duit dg kerja keras,jadinya ga ada yg mau di suruh2 sama org lain",0,0,2025-10-06T01:53:37Z,comment
UgzkQ-uueJafOAyAdbx4AaABAg,,@ojolgaming0907,Alhamdulillah bertambah ilmunya 🤲🤲,0,0,2025-10-02T16:19:07Z,comment
Ugym2dax0wgxiIYdfst4AaABAg,,@IpangAirlangga,Yang lihat bulan Oktober 🗿🗿,0,0,2025-09-30T13:18:50Z,comment
Ugyr527W6QQLuMH2t6Z4AaABAg,,@budijayadibudi5432,RDN BCA 70m bisa raib gimana caranya ya bro....,0,0,2025-09-29T22:16:21Z,comment
UgxWZ9yos_fcmRyE85Z4AaABAg,,@adhymariyadi2835,Nyimak Boss.. Nonton Tanggal 20 September 2025 (Umur 41 Tahun 😢),0,0,2025-09-20T05:22:53Z,comment
Ugx4yawuKQOOIDqTjBt4AaABAg,,@dhotdesign-h2h,Kenapa yah gua baru liat Vidio Koko di tahun 4 September 2025,0,0,2025-09-05T12:49:12Z,comment
UgxvXdOCB-BoMvFHmDp4AaABAg,,@Sampoerna-x1d,Angka judi gmna?,0,0,2025-09-02T13:40:11Z,comment
UgxkG4iyYbQNa5YoWft4AaABAg,,@youmakemehard3723,"Makanya ada PINJOL ya kan 😱 ternyata itu untuk beli KTP org aja dan dipakai buat main Crypto atau Saham... OMG, pantas Presiden Prabowo bilang Negara ini mau dijual entah ke China atau USA?",1,0,2025-08-26T01:54:49Z,comment
UgwgMfn36_TItQISWoR4AaABAg,,@juandaakbar2196,"Benang merahnya, ketika trading tetap jaga porto kalian warna ijo... gimana caranya? Meski TP kecil wajin tetap ijo, TP besar apalagi... itu aja dijaga",0,0,2025-08-13T17:18:00Z,comment
Ugy7SSmaMZAR8iX8QXd4AaABAg,,@12345wisnu,Yang lihat ini bulan Agustus 2025 🎉,3,0,2025-08-05T11:04:23Z,comment
Ugyup1DJqbCWBTRZs2V4AaABAg,,@muhammadsaleh7808,Absen 31 juli 2025,0,0,2025-07-31T06:42:56Z,comment
UgyhA3tkJiDyp14oE7B4AaABAg,,@TalKryptic,11:39 ngakak pas bagian ini. 🤣,0,0,2025-07-30T05:14:06Z,comment
UgzaYefMbT0JzXwraEZ4AaABAg,,@Harlyin_adiccitv,"Apa ini, siapa beliau, kenapa begitu sopan …",0,0,2025-07-28T12:58:48Z,comment
Ugya_AyhvCGx48DmM954AaABAg,,@muhammadabdillah8839,bg,0,0,2025-07-26T21:06:17Z,comment
UgzyDy86IgyDMqxfPql4AaABAg,,@arianannur,ketika bang timothy benar-benar memberikan ceramah serius full daging,0,0,2025-07-26T09:17:47Z,comment
UgzoA_lQQHFF0E4lZK94AaABAg,,@shmgaming6740,lanjut marathon video ke 3,0,0,2025-07-25T12:46:44Z,comment
Ugz1fR8DSnlgbSl55MB4AaABAg,,@agusprananto525,Thank you anak muda...👍👍👍,0,0,2025-07-24T16:04:21Z,comment
UgwVeMdVV5vo9L1isxV4AaABAg,,@andi_np,tetep pada akhirnya fundamental yg bicara,0,0,2025-07-23T03:47:56Z,comment
UgzITlXB6YNehQFitx54AaABAg,,@navissyaban8637,Terimakasih koh,0,0,2025-07-22T04:06:43Z,comment
UgzE8sUoca-qyWTvsmV4AaABAg,,@investockmedia,"Investasi saham banyak dipengaruhi emosi investor masalahnya. Beli saham juga beli harapan. Jadi ya, 2 hal itu yang paling di mainin market maker.",0,0,2025-07-20T12:06:05Z,comment
UgzI99pZpZVC0at6be14AaABAg,,@zackyedan570,juli 2025 masih mantengin,0,0,2025-07-19T17:22:44Z,comment
Ugz9WBDaiqIoW4NHAjB4AaABAg,,@barudaksalafi1545,Motivasi,0,0,2025-07-15T16:47:57Z,comment
UgyAjrl_5lsk3-DIDkF4AaABAg,,@TheNoxWonder_,9:07 Saham adalah zero sum game 😢😢😢,0,0,2025-07-05T07:15:57Z,comment
UgyNKoQTc2yayyorJuN4AaABAg,,@HasanPercetakan,"Biar ga ketahuan bandar, belinya sedikit tapi pake banyak Rdn",0,0,2025-07-02T01:34:59Z,comment
UgysMZJgLU-HVX6fLdB4AaABAg,,@Zürich-fx,3. 27/6/25,0,0,2025-06-26T21:03:47Z,comment
Ugz3J1Asc1Ievby0pyV4AaABAg,,@maxzhuraabdul30,Bang apakah saham bumi akan naik di 2026?,0,0,2025-06-23T15:08:29Z,comment
Ugy21gQcVkFZdK7qfxZ4AaABAg,,@afnannursuwandi345,"oke, sekarang buat untuk sisi gelap dunia crypto",0,0,2025-06-23T04:27:04Z,comment
Ugzg4I0W1JUEWzZ5fMN4AaABAg,,@rizkyenemy,👍🏼,0,0,2025-06-22T14:25:39Z,comment
UgwX4bBLJNXzP3PtWGp4AaABAg,,@pejuanghijrahsd,"jadi paham, makasi bang",0,0,2025-06-18T04:57:13Z,comment
UgxkciThXBsSU9A7Y9J4AaABAg,,@CleanupSaveocean,Hadir bang 🙏,0,0,2025-06-16T14:38:26Z,comment
UgzpVrFhzX-VrzJFLwF4AaABAg,,@isalsalbiah2546,"Ngefans banget gw sama pola pikir luh bang,,,,,,  Anjir cerdas bgt",0,0,2025-06-16T03:46:57Z,comment
Ugw9xYJl7V3pIw2IJ394AaABAg,,@NiMadeNasir,br kali ini dgr info yg bener,0,0,2025-06-15T01:50:06Z,comment
UgzMrUTA8H3QTOhzXet4AaABAg,,@Invert-i7f,siapa cowo softspoken ini,16,1,2025-06-13T00:50:28Z,comment
UgzMrUTA8H3QTOhzXet4AaABAg.AJI4dLqi_egAKWijf1mE-L,UgzMrUTA8H3QTOhzXet4AaABAg,@MiftahurRahman-w3m,Bapakukau,0,0,2025-07-13T13:50:21Z,reply
UgwtP7GuI-FzNRWJd9Z4AaABAg,,@pustakawandunia1688,Sama sperti Crypto. This is the game. Smart people and hoki is the winner.,0,0,2025-06-11T14:09:56Z,comment
UgxKubDXoAID1uFPbWF4AaABAg,,@abdulcholiq3540,Yg nonton june 2025.ngacung😅,86,12,2025-06-11T13:27:07Z,comment
UgxKubDXoAID1uFPbWF4AaABAg.AJEHdXZeot_AJTocpTHZJv,UgxKubDXoAID1uFPbWF4AaABAg,@shaaky22,hadirr,2,0,2025-06-17T14:12:44Z,reply
UgxKubDXoAID1uFPbWF4AaABAg.AJEHdXZeot_AJU96M1UQ0z,UgxKubDXoAID1uFPbWF4AaABAg,@BahrulFauziRosyidi,Hadir,1,0,2025-06-17T17:20:24Z,reply
UgxKubDXoAID1uFPbWF4AaABAg.AJEHdXZeot_AJ_M4Cr_8Xm,UgxKubDXoAID1uFPbWF4AaABAg,@TsubasaOzora-z5i,👏,1,0,2025-06-20T03:09:09Z,reply
UgxKubDXoAID1uFPbWF4AaABAg.AJEHdXZeot_AJeDPuEmPnj,UgxKubDXoAID1uFPbWF4AaABAg,@qwerty123-v4c,😅,1,0,2025-06-22T00:29:40Z,reply
UgxKubDXoAID1uFPbWF4AaABAg.AJEHdXZeot_AJefBATqp8E,UgxKubDXoAID1uFPbWF4AaABAg,@TOKS_,Hadir repet watch again hahahahhaa,1,0,2025-06-22T04:41:03Z,reply
Ugye0Kc9Sh8_Ox_xGtB4AaABAg,,@gratisanselamanya,naga 👍🙂,0,0,2025-06-10T15:33:25Z,comment
UgwvZsQgMqVgz7WX_b14AaABAg,,@herijepri1338,Kayak nya ilmu nya ngak bisa langsung di serap... Haruss di pahami dulu Mulai pusing,0,0,2025-06-06T12:41:13Z,comment
UgxTm9SJGzIFFzxD8TB4AaABAg,,@hiskialaang6881,Pengen denger di panggung negara,0,0,2025-06-05T13:20:51Z,comment
UgxaoJfuCO0sRtbK_bh4AaABAg,,@hiskialaang6881,Bang tolong dong pasti ada lagu timoty Ronald please dong,0,0,2025-06-05T13:19:31Z,comment
UgwOtfskBHPDHaordxd4AaABAg,,@hiskialaang6881,Saya percaya baget sama kamu bang,0,0,2025-06-05T13:16:26Z,comment
UgyFPFHv_c594hl71WF4AaABAg,,@akuadalahaku00,Kali ada info...saham mercy harga bajai..koko?,0,0,2025-06-03T17:14:53Z,comment
UgxMw75G3b-jqlPbCIl4AaABAg,,@SopiahBarokah,Terimakasih edukasi nya pak,0,0,2025-06-03T10:41:50Z,comment
UgwsPIEPB20uXPOJQgd4AaABAg,,@heri4013,"Masa allah kelahiran 2000 secerdas ini th 2015 masi main game coc suhu timoty sudah trading,,,, saya kelahiran 1993 angkat topi buat km bos,,,,",0,0,2025-06-02T08:30:18Z,comment
UgzKIG5ew1-3hWAz8kl4AaABAg,,@AbdulAziz28-h1d,Gua abdul bang dari masa depan yg bakal naikin harga klas lu wkwk😅😅😅,0,0,2025-06-02T04:54:36Z,comment
UgxtIDcyTNHw4PxxeHR4AaABAg,,@AbdulAziz28-h1d,KEBENARAN AKAN MENANG YANG MENJAWAB ADALAH WAKTU,0,0,2025-06-02T04:52:37Z,comment
UgwT48_8EQZRjazhf2F4AaABAg,,@thoriqdivandra9396,Gak pengaruh di saham bigbanks dan Lq45,0,0,2025-06-01T14:59:09Z,comment
Ugxc02e9hGCrP4a4vgl4AaABAg,,@RanabillaAdhara,"Brotim, saya mau tanya pendapat brotim tentang cara kerja uang saya. Saya inves di tempat A sebanyak 800jt, tiap bulan saya dapat uang 20jt keuntungan dr tempat A itu, konsisten setiap bulan. Dan kalau suatu hari nanti saya tarik uang saya 800jt itu, boleh dan bisa. Bagaimana menurut brotim?",0,0,2025-05-31T17:54:50Z,comment
UgyYGHcQmMc0kiym-u94AaABAg,,@YunusMaulaRohmani,Apakah bro timothy ini orang yang berasal dari masa depan dan kembali ke masa lalu ??.,0,0,2025-05-30T08:56:29Z,comment
Ugw7rXgcO-oWj10ewMV4AaABAg,,@darmapratama1496,sisi gelap crypto ga lu sebut?,0,1,2025-05-28T00:49:11Z,comment
Ugw7rXgcO-oWj10ewMV4AaABAg.AIdslz7s1AsAJTdaAPn762,Ugw7rXgcO-oWj10ewMV4AaABAg,@Rewatch-c8o,Ada di video yg bahas FTX,0,0,2025-06-17T12:36:15Z,reply
UgymEarEZpsVUV1YpcB4AaABAg,,@kipingkiping4565,Itulah sebabnya trader seperti pak vier selalu pakai trik 9 rdn bahkan lebih,0,0,2025-05-28T00:32:47Z,comment
UgxzTj4wepxQrp74PpB4AaABAg,,@RikaNatalia-pc6bp,Bagus gw malah seneng tambah dikit yang beli saham tambah murah harganya tambah gacor dividennya tambah untung jadinya,0,0,2025-05-26T08:39:46Z,comment
UgyqNgmB5dV3Kw8k2Bx4AaABAg,,@kopipagi537,terima kasih,0,0,2025-05-23T08:25:05Z,comment
UgyNHGH9RTG32zU0bW54AaABAg,,@saharimustofa457,❤,0,0,2025-05-23T06:45:31Z,comment
UgyH2_yFESdkTqaGe0B4AaABAg,,@wisnuyoga9201,"Bang cara daftar di tokcrypo ,kalo ngak ada rekening bank gimana solusinya?🙏",0,0,2025-05-22T14:47:08Z,comment
Ugxe97A-vDsTbwkBIsZ4AaABAg,,@BANGDEON-n8p,Nonton 2025,0,0,2025-05-20T08:08:23Z,comment
Ugypz7NRoaVaN9cyLF54AaABAg,,@yrahman,Baik loh nih orang mau ngejelasin tapi kok banyak yg benci ya. Tapi emg org yg gw kenal dan Benci Timothy rata² goblok sih 😅,0,1,2025-05-15T19:29:51Z,comment
Ugypz7NRoaVaN9cyLF54AaABAg.AI9Pgdd1A2VAIH_Xwg-_9v,Ugypz7NRoaVaN9cyLF54AaABAg,@LogikaTumpul,"Yang mereka benci bukan ilmu nya, tapi banyak penyampaian dia yang merasa dia pokok nya udah paling bener dan yang lainnya yang gak sama atau ikutin dia itu tolol.",1,0,2025-05-18T23:38:34Z,reply
Ugx7hTnlyFGxmQ3INix4AaABAg,,@JefFei-t1q,"fans berat saham, mulai hilang kepercayaan terhadap saham indo,,,, mulai belajar trading crypto",0,0,2025-05-13T13:53:50Z,comment
UgxoiyhtYvCRw5ucm-p4AaABAg,,@NauvalArwa99,Matursuwun bang atas ilmunya ❤❤❤,0,0,2025-05-12T02:35:58Z,comment
UgzEtAd58PEvonBgG2J4AaABAg,,@MuhamadRidwan-x3n,Vidio 3 yg gua liat,0,0,2025-05-07T11:50:53Z,comment
Ugx52-At4lHwfc_VVgl4AaABAg,,@Jauthegems,Kerjaan wb indonesia,0,0,2025-05-03T16:48:39Z,comment
UgwxvjKjTJUJPwITfrh4AaABAg,,@Comment_Moderator,"Hai, gw dari masa depan.",2,0,2025-05-02T18:31:20Z,comment
Ugxxl5ZH4DZ_JUCgUBl4AaABAg,,@bagindasurya7468,Bismillah next,0,0,2025-04-25T13:11:46Z,comment
UgxcPIqw1LF5jB8fpBl4AaABAg,,@cintaahlulbaitrasulullahmu8570,"Alhamdulillah saya sudah menguasai indikator obyektif pivot camarilla, fibonacci, wodie demark dan tradisional... semua obyektif dan akurat dan sip Joss simetris dengan fundamental ataupun news di market yang sedang booming atau euforia di pasar....🙏💪🦁",0,0,2025-04-20T06:15:51Z,comment
Ugx_uS5qxwG8DipCNV94AaABAg,,@Mengkece,"Dengar bro timhothy  cerita gini  Jiwa jiwa ku bergetar  Seakan,ditarik ke dalam cerita",0,0,2025-04-19T15:14:23Z,comment
UgzmRoCmavg_YG7azth4AaABAg,,@Mattewlv,"Solusinya gmna ? Saya baru masuk ke dunia saham baru mulai nonton video sudah 1 bulanan full, dan akhir gini bingung ni gak ada pemasukan sama sekali tolong saya 😢",0,2,2025-04-18T13:22:59Z,comment
UgzmRoCmavg_YG7azth4AaABAg.AH3EF1mjriPAHZRfFCRhiV,UgzmRoCmavg_YG7azth4AaABAg,@CIHUY000-j2l,Kerja,0,0,2025-05-01T01:36:00Z,reply
UgzmRoCmavg_YG7azth4AaABAg.AH3EF1mjriPAJbXGMrNzUq,UgzmRoCmavg_YG7azth4AaABAg,@destadesta7,"kalo uang belum 100jt, kerja dulu. susah kaya kalau modal kecil",0,0,2025-06-20T23:25:24Z,reply
UgzMryRy6G3SYuG_bc94AaABAg,,@ahmadramadani1778,gua penonton terakhir?,0,0,2025-04-07T12:34:09Z,comment
UgwKfAP06zfsnuRvtml4AaABAg,,@ZahliapurtiNabagus,Jauh ilmu abang nih,0,0,2025-04-04T16:35:26Z,comment
UgzhXZOW6ixMHaZXoZ94AaABAg,,@AntiBaalwi,BANDAR YG RAMPOK RITEL ADANYA CUMA DI SAHAM KONGLO. kalo di saham banking ga berlaku.,0,0,2025-04-02T12:50:27Z,comment
UgwMkx6RDpnk7KdDmM54AaABAg,,@ririhermanto6454,Tengkyu broder ilmunya..,0,0,2025-04-01T18:17:24Z,comment
UgwwaYdfIJQToEKw6jR4AaABAg,,@junedisitorus9304,ko bertanya  sekarang bila kita beli saham  semua memakai HP? (online)  tidak harus kekantor agen? semua berkas  online/pdf? terima kasih,0,0,2025-04-01T13:48:03Z,comment
UgzeP0usCefP39kOjVt4AaABAg,,@Err_7x,Gak ada trading live yg bener2 tunjukin profit konsisten kah ko gema,0,0,2025-03-31T13:09:27Z,comment
UgwnOVGmWattPK2YzJZ4AaABAg,,@ekohariyono_idx,Setiap saham ada penunggunya.,0,0,2025-03-31T04:41:40Z,comment
Ugwti1R6Cr7lyklUPmx4AaABAg,,@og09gam,"2025, up ini ketika investor Revolusioner ini di sindir""  Investor lain",0,0,2025-03-30T09:29:17Z,comment
UgyrfAwFGQCvSgP4FtZ4AaABAg,,@jasoonjarsoon1651,2025 anoyone? Btw inii Timothy waktu belom capek ngadepin netizen Indonesia,1,0,2025-03-21T07:04:21Z,comment
Ugz-jgVSVppJw3IkAyJ4AaABAg,,@nurulbahri483,"trimakasih pencerahannya, analogi yang pas buat ritel seperti saya yang udah buang-buang waktu 2 tahun belajar saham dari 0 dan berahir di 0. andai nemu vidio ini dari dulu",0,0,2025-03-21T02:16:06Z,comment
UgyIF038ogzEffQphER4AaABAg,,@davidardian506,"Pakai prinsip yg sama, apakah Bitcoin juga ada Bandarnya? Paus  vs Ikan Teri ?",0,0,2025-03-18T23:41:50Z,comment
Ugxic6OkRmxBAhmq0rt4AaABAg,,@Javatuber,"18 Maret 2025, IHSG anjlokk.. ampe kena trading halt. Padahal saham luar ijo royo royo 😢",0,0,2025-03-18T10:55:59Z,comment
UgyBDE_V3jFs70acjfh4AaABAg,,@theinsiderstocks,crypto juga ada bandarnya timoyi ini stress,1,0,2025-03-02T07:04:04Z,comment
Ugxgg0E3k9y-xZAFp-p4AaABAg,,@patrisiusningkut7185,BBRI nyangkut parah 😢😢,0,1,2025-02-26T23:45:54Z,comment
Ugxgg0E3k9y-xZAFp-p4AaABAg.AF10znPaF45AFBqdtV_bEM,Ugxgg0E3k9y-xZAFp-p4AaABAg,@giftcell8892,Ngpainaen saham😅😅😅😅,0,0,2025-03-03T04:38:27Z,reply
Ugw8c4fewubXfTl92Np4AaABAg,,@Investor_Ritel,"Sya beli bitcoin from 2014, Wow cuan brow. ✌🤑",4,0,2025-02-25T16:25:38Z,comment
UgyNDvaLa4LplQL3G9x4AaABAg,,@hazmantatbiqu7883,"Keren mas, saya udh paham saham nambah paham lagi saham setelah denger ini. Bismillah lagi belajar Invest di BTC dan crypto moga cepet bisa dan rezekinya ada. Soalnya menarik naik turunnya dratis high risk High return",0,0,2025-02-23T18:27:42Z,comment
UgyMI5CRyL5-HQQPOtd4AaABAg,,@husniray5138,Kayak saham AGRO dari 2700 sekarang ke 200,0,0,2025-02-18T10:32:34Z,comment
Ugwqxnym7h-LnsQ44jl4AaABAg,,@Chaneltutorial65,"Saham Indonesia tidak berkembang ingat kata saya, mending gua fokus pada kripto jelas terlihat hasil ketimbang saham lokal kontol 😅",0,0,2025-02-14T10:00:29Z,comment
UgzHvX02OxW0BdiwRft4AaABAg,,@jokorian3229,maaf bang baru nonton wkwkwk,0,0,2025-02-04T15:08:49Z,comment
UgxrwX0xHntXh_bu8Q54AaABAg,,@ayankayi6507,"Berharap jawaban yg memuaskan, bg mau tanya  jika uang kita tidak bisa di tarik dari perusahaan sekuritas dengan alasan teman yang kita rekomendasi bergabung ke grup sekuritas yang sama melakukan pelanggaran, apa yang harus kita lakukan?",0,0,2025-02-01T05:00:58Z,comment
UgzpU9yKKNewdXjsyBJ4AaABAg,,@TONGSAMCAN,4:10,0,0,2025-01-30T21:26:34Z,comment
Ugyu42e_EfxfVTPKsnJ4AaABAg,,@irsanfauzi6484,Sebutin nama aplikasi yg bagus bg,0,0,2025-01-30T13:55:46Z,comment
UgxIJ4JrJoDFtENhvlR4AaABAg,,@ingeinge753,Msh lbh gelap kripik jualan angin,0,0,2025-01-30T11:33:08Z,comment
UgwwzLC1OuQFWfj92i54AaABAg,,@kukuhagungpamuji5237,WAH MANTAP NIH TIMOTHY RONAL 🥳,0,0,2025-01-27T19:34:45Z,comment
UgzMzmT4iRZHT0yU6Tl4AaABAg,,@AeroDayu,Terimakasi guru timoti,0,0,2025-01-17T15:33:14Z,comment
UgxclyqKx8sjdOpuEXl4AaABAg,,@kevinanr,Gw mau dong jadi bandar gimana caranya,0,0,2025-01-16T02:38:00Z,comment
UgyR-jynkjcR8Pcqjhh4AaABAg,,@NilL.6,"Ternyata sisi gelap nya bikin ngeri juga, Tapi atasi semua itu adalah ilmu dari pikiran kita sendiri",0,0,2025-01-11T17:36:54Z,comment
UgyuzUX8iIX4mFOAxFd4AaABAg,,@Mafia-r3r,Ajarin bang harus mulai dari mana,0,0,2025-01-08T03:31:58Z,comment
UgwtlOPXNpxFQlVWaaV4AaABAg,,@asap761,Tell me more dude..,0,0,2024-12-30T01:57:20Z,comment
UgyPXiM7r6zZ2BI5f2B4AaABAg,,@Hanma.1shuji,Ngajar rakyat jelantah kayak cerita horor😂,0,0,2024-12-28T12:39:51Z,comment
UgwDKvJRxy2L3f63_Lp4AaABAg,,@Atitzy,Kesini gara2 pak prabowo,0,0,2024-12-12T03:36:22Z,comment
UgyqTjh6uw-cJ6zTTbZ4AaABAg,,@yusufvkf5516,2024 lanjut bang timoti elmu nya,0,0,2024-12-08T04:56:07Z,comment
UgwoC9wBGyQtoO0CsXt4AaABAg,,@hendribs2688,Tahun 2015 buka akun modal berapa?? Apakah anak smp sudah boleh buka akun??,1,0,2024-11-29T04:21:01Z,comment
UgxWCV_z6aQtZwlexRV4AaABAg,,@nicholaschin97,"tesis gua ginian wkwkw, dijelaskan dalam video wtf wkwkwk",0,1,2024-11-28T08:09:44Z,comment
UgxWCV_z6aQtZwlexRV4AaABAg.ABNbJDJHbQnAFNt7rVfZPk,UgxWCV_z6aQtZwlexRV4AaABAg,@salman_lq,mau baca dong bang hehe,0,0,2025-03-07T20:51:02Z,reply
Ugz6lVwoLP8az7J16yd4AaABAg,,@adityapandupangestu7456,poin penting dari videonya ada di 7:55,0,0,2024-11-25T00:09:49Z,comment
UgzJr55tw0X-m6bnERx4AaABAg,,@hendribs2688,Kayaknya mending jualan cilok aja.,0,0,2024-11-18T06:07:41Z,comment
UgwdwCygoQin-EjWwFR4AaABAg,,@ghifariyoga1922,"koh ada video bahas money flow gk , didunia dan di indo?",0,0,2024-11-16T18:12:48Z,comment
UgwWm76lRgmoHMPucyN4AaABAg,,@WinNarto-o4x,gua usia 14 thn uda mau nyemplung dunia saham bang.. uda mikirin ekonomi :),1,0,2024-11-03T09:28:03Z,comment
UgwcBCXLdywpWVEUINV4AaABAg,,@ArnitaHidayat,Bahas tentang treding dong😢lewat broker dong,0,0,2024-10-27T10:42:17Z,comment
UgwnYxApf-Ia2CxmX_R4AaABAg,,@dedykurniyanto6349,"Dan lo kheng hong termasuk korban itu 😂😂😂😂 , dikira jaman united traktor bakal terulang",0,0,2024-10-06T12:15:25Z,comment
Ugz6Snn7TcMxzw-32nx4AaABAg,,@yxng1boy,Menit ke 11:00 itu paling anj sihh,0,0,2024-08-29T04:32:07Z,comment
UgzhPomeSIIoJXg-k054AaABAg,,@universeiklan,"Gue sebagai pembuat jasa website sekuritas, 100% apa yg lo sampaikan its true",49,2,2024-08-25T22:37:40Z,comment
UgzhPomeSIIoJXg-k054AaABAg.A7_Y76kfIzoAH1oiVgGXOP,UgzhPomeSIIoJXg-k054AaABAg,@MALAS_SEKALI,Ada kontaknya bro?,0,0,2025-04-18T00:11:59Z,reply
UgzhPomeSIIoJXg-k054AaABAg.A7_Y76kfIzoAITcbJYpNYt,UgzhPomeSIIoJXg-k054AaABAg,@kingcrap_z5449,Info bikin bisnisnya bang🤤,1,0,2025-05-23T15:56:16Z,reply
UgxWj7pw_RMHVPd6i2F4AaABAg,,@yudijarwoko2053,❤❤❤BEL GATE SAJA GAK MAU BERMAIN CRYPTO😂😂,0,1,2024-08-25T00:44:39Z,comment
UgxWj7pw_RMHVPd6i2F4AaABAg.A7YBrDUSeLfAD9vgJvvpLw,UgxWj7pw_RMHVPd6i2F4AaABAg,@NilL.6,"Ini dunia makin lama makin maju bro ... Makanya ubah mindsetnya  Jangan sampe Ada yang ketinggalan lagi, Ikuti perkembangan digital nya",0,0,2025-01-11T17:41:12Z,reply
UgygK9FpwWNonZBeoX54AaABAg,,@BANDAACEHRC,Mengerti CEO dan mengerti Blokchan,0,0,2024-08-18T11:16:57Z,comment
UgyRI_3ZhamLYOJ_uHR4AaABAg,,@BANDAACEHRC,Kalu comment saya spam hapus di dasbor timothy,0,0,2024-08-18T11:13:06Z,comment
Ugx_tedDX5VK3xqMZJR4AaABAg,,@BANDAACEHRC,"BTC boleh beli sekarang secara bertahap, untuk altcoin sabar dulu....",0,0,2024-08-18T11:11:30Z,comment
UgwdO7Ieq_PtJ1QSrTV4AaABAg,,@BANDAACEHRC,Salam Banda Aceh bro...,0,0,2024-08-18T11:08:22Z,comment
UgxW3m-YYqyFTfdx9q14AaABAg,,@BANDAACEHRC,"Tidak ada rumusnya BTC dan Altcoin tidak ada rumusnya juga, modal adalah kecerdasan.... Thanks timothy",0,0,2024-08-18T11:07:45Z,comment
Ugxq54sAVYVfHgT72bN4AaABAg,,@BANDAACEHRC,"Good, gitu dong tentang broker... 10thn saya di BTC,",0,0,2024-08-18T11:05:29Z,comment
Ugzi7CcuCUQ6mCoT2_J4AaABAg,,@AnakKisam,"Gara2 googling, cara kaya😅",0,0,2024-08-16T13:32:06Z,comment
